epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
76,1026.55,1.55061,2.24216,1.20902,0.00588,0.79125,0.87364,0.84414,0.89745,0.68382,0.86752,0.79412,0.825,0.56662,1.1681,1.60945,0.67116,0.00459,0,0.00986323,0.00986323,0.00986323
77,1040.31,1.54465,2.25825,1.2067,0.0058,0.76891,0.83368,0.79834,0.87979,0.6677,0.85933,0.74551,0.80162,0.50583,1.16716,1.70451,0.72596,0.00457,0,0.00985958,0.00985958,0.00985958
78,1053.98,1.54409,2.26422,1.18657,0.0057,0.74548,0.87159,0.83594,0.90559,0.69501,0.83102,0.77844,0.8294,0.57093,1.12348,1.57538,0.68186,0.00439,0,0.00985588,0.00985588,0.00985588
79,1067.85,1.54116,2.24075,1.19504,0.00562,0.80598,0.902,0.78088,0.90037,0.69933,0.85942,0.7414,0.82858,0.54687,1.10902,1.54607,0.70019,0.00426,0,0.00985213,0.00985213,0.00985213
80,1081.73,1.50691,2.18072,1.15058,0.00544,0.75431,0.80177,0.81724,0.88882,0.69056,0.76608,0.77554,0.81862,0.56219,1.1101,1.59676,0.67394,0.00441,0,0.00984833,0.00984833,0.00984833
81,1095.74,1.55218,2.19231,1.16718,0.00565,0.79608,0.88508,0.83776,0.90418,0.68812,0.80719,0.76173,0.76828,0.51224,1.1348,1.6369,0.69608,0.00477,0,0.00984449,0.00984449,0.00984449
82,1109.68,1.53136,2.24101,1.19932,0.0057,0.76457,0.84428,0.76952,0.88661,0.65441,0.84183,0.72318,0.82501,0.5442,1.17744,1.60308,0.73014,0.00456,0,0.0098406,0.0098406,0.0098406
83,1123.6,1.54,2.21531,1.15498,0.00552,0.76943,0.91024,0.79459,0.90115,0.67481,0.87944,0.75899,0.83984,0.56464,1.157,1.62498,0.71889,0.00454,0,0.00983666,0.00983666,0.00983666
84,1137.53,1.54209,2.21822,1.17082,0.00573,0.76841,0.92434,0.79215,0.91109,0.68436,0.89349,0.76321,0.82807,0.56489,1.14187,1.5659,0.68185,0.00438,0,0.00983267,0.00983267,0.00983267
85,1151.35,1.52814,2.1807,1.17943,0.00555,0.75125,0.79883,0.90597,0.91237,0.68762,0.9213,0.76694,0.85047,0.57344,1.12684,1.57055,0.66011,0.00436,0,0.00982864,0.00982864,0.00982864
86,1164.84,1.51813,2.1692,1.13472,0.00557,0.73368,0.80362,0.83471,0.88846,0.68298,0.7899,0.7727,0.82227,0.55522,1.11399,1.57637,0.70334,0.00449,0,0.00982456,0.00982456,0.00982456
87,1178.35,1.52238,2.21417,1.16431,0.00562,0.74315,0.86791,0.84731,0.90196,0.70283,0.83203,0.80585,0.84065,0.57415,1.11576,1.60181,0.70767,0.00438,0,0.00982043,0.00982043,0.00982043
88,1191.84,1.50594,2.15061,1.12747,0.00562,0.75965,0.8406,0.86755,0.91434,0.71328,0.87331,0.78253,0.86601,0.5872,1.09022,1.57069,0.6645,0.00426,0,0.00981626,0.00981626,0.00981626
89,1205.37,1.52545,2.1506,1.13161,0.0057,0.74043,0.79947,0.87835,0.90231,0.69042,0.79105,0.84425,0.86125,0.58617,1.12074,1.58773,0.66695,0.00443,0,0.00981204,0.00981204,0.00981204
90,1218.84,1.52566,2.20587,1.13375,0.00561,0.7282,0.84619,0.8702,0.90526,0.70077,0.81296,0.82204,0.8405,0.57883,1.11646,1.5681,0.69411,0.00442,0,0.00980777,0.00980777,0.00980777
91,1232.59,1.51331,2.18064,1.12057,0.00556,0.73639,0.80624,0.86581,0.89484,0.68914,0.81581,0.77646,0.84382,0.55713,1.168,1.75378,0.69637,0.00451,0,0.00980345,0.00980345,0.00980345
